rule_id,project_id,run_id,cycle_no,source,owner_scope,target_agent,target_section,effective_from_cycle,expires_after_cycle,rule_type,rule_payload,rationale,status,created_at
opr-f501a5af5a,newsloop-agenticv2-0801,2ab41b733748,1,agent.self_optimize,agent,neko,,2,,lead_sentence_rule,"{""style"": ""impact_first""}",主推首句必须先说影响或结果，再补事实来源。,active,2026-04-07 18:50:31.089919+00
opr-e5db3ba0bc,newsloop-agenticv2-0801,2ab41b733748,1,agent.self_optimize,agent,neko,,2,,publish_gate,"{""require_zero_proofread_blockers"": true}",proofread blocker 未清零时禁止 publish。,active,2026-04-07 18:50:31.103568+00
opr-5147ae5c07,newsloop-agenticv2-0801,2ab41b733748,1,agent.self_optimize,agent,33,,2,,source_whitelist,"{""sources"": [""Reuters"", ""Associated Press"", ""Bloomberg"", ""Financial Times"", ""The Verge"", ""TechCrunch"", ""官方公告""]}",根据本轮复盘与产品评估，下一轮优先使用更稳定的来源白名单。,active,2026-04-07 18:50:31.368069+00
opr-7d84ad7ce0,newsloop-agenticv2-0801,2ab41b733748,1,agent.self_optimize,agent,33,,2,,source_blacklist,"{""sources"": [""低质量聚合站""]}",根据本轮复盘与产品评估，下一轮过滤低质量来源。,active,2026-04-07 18:50:31.377974+00
opr-ac60323b27,newsloop-agenticv2-0801,2ab41b733748,1,agent.self_optimize,agent,33,,2,,image_availability_threshold,"{""min_images"": 1}",采集阶段优先保留带图候选，降低后续主推图片不足风险。,active,2026-04-07 18:50:31.389693+00
opr-16e4070141,newsloop-agenticv2-0801,2ab41b733748,1,agent.self_optimize,agent,33,,2,,short_brief_compression_rule,"{""max_chars"": 44}",短讯继续压缩，优先保留结果、时间与影响范围。,active,2026-04-07 18:50:31.400077+00
opr-ae7e7fa42f,newsloop-agenticv2-0801,2ab41b733748,1,agent.self_optimize,agent,xhs,,2,,source_whitelist,"{""sources"": [""ESPN"", ""BBC Sport"", ""官方赛事渠道"", ""Variety"", ""Reuters"", ""AP""]}",根据本轮复盘与产品评估，下一轮优先使用更稳定的来源白名单。,active,2026-04-07 18:50:31.48703+00
opr-c7a4c8cb50,newsloop-agenticv2-0801,2ab41b733748,1,agent.self_optimize,agent,xhs,,2,,source_blacklist,"{""sources"": [""无来源转载站""]}",根据本轮复盘与产品评估，下一轮过滤低质量来源。,active,2026-04-07 18:50:31.496495+00
opr-82a0226838,newsloop-agenticv2-0801,2ab41b733748,1,agent.self_optimize,agent,xhs,,2,,image_availability_threshold,"{""min_images"": 1}",采集阶段优先保留带图候选，降低后续主推图片不足风险。,active,2026-04-07 18:50:31.505926+00
opr-de13d8079a,newsloop-agenticv2-0801,2ab41b733748,1,agent.self_optimize,agent,xhs,,2,,short_brief_compression_rule,"{""max_chars"": 44}",短讯继续压缩，优先保留结果、时间与影响范围。,active,2026-04-07 18:50:31.515883+00
opr-b2a5de4078,newsloop-agenticv2-0801,a5768aefa005,2,agent.self_optimize,agent,neko,,3,,lead_sentence_rule,"{""style"": ""impact_first""}",主推首句必须先说影响或结果，再补事实来源。,active,2026-04-07 19:00:27.808327+00
opr-ef5b50480e,newsloop-agenticv2-0801,a5768aefa005,2,agent.self_optimize,agent,neko,,3,,publish_gate,"{""require_zero_proofread_blockers"": true}",proofread blocker 未清零时禁止 publish。,active,2026-04-07 19:00:27.818044+00
opr-89878e4d86,newsloop-agenticv2-0801,a5768aefa005,2,agent.self_optimize,agent,33,,3,,source_whitelist,"{""sources"": [""Reuters"", ""Associated Press"", ""Bloomberg"", ""Financial Times"", ""The Verge"", ""TechCrunch"", ""官方公告""]}",根据本轮复盘与产品评估，下一轮优先使用更稳定的来源白名单。,active,2026-04-07 19:00:28.078269+00
opr-3e21b9faa0,newsloop-agenticv2-0801,a5768aefa005,2,agent.self_optimize,agent,33,,3,,source_blacklist,"{""sources"": [""低质量聚合站"", ""低质量聚合站""]}",根据本轮复盘与产品评估，下一轮过滤低质量来源。,active,2026-04-07 19:00:28.087908+00
opr-a8b7c979df,newsloop-agenticv2-0801,a5768aefa005,2,agent.self_optimize,agent,33,,3,,image_availability_threshold,"{""min_images"": 1}",采集阶段优先保留带图候选，降低后续主推图片不足风险。,active,2026-04-07 19:00:28.098128+00
opr-cfafaf4765,newsloop-agenticv2-0801,a5768aefa005,2,agent.self_optimize,agent,33,,3,,short_brief_compression_rule,"{""max_chars"": 44}",短讯继续压缩，优先保留结果、时间与影响范围。,active,2026-04-07 19:00:28.109082+00
opr-1e4da6d7c1,newsloop-agenticv2-0801,a5768aefa005,2,agent.self_optimize,agent,xhs,,3,,source_whitelist,"{""sources"": [""ESPN"", ""BBC Sport"", ""官方赛事渠道"", ""Variety"", ""Reuters"", ""AP""]}",根据本轮复盘与产品评估，下一轮优先使用更稳定的来源白名单。,active,2026-04-07 19:00:28.201773+00
opr-04adcd17a1,newsloop-agenticv2-0801,a5768aefa005,2,agent.self_optimize,agent,xhs,,3,,source_blacklist,"{""sources"": [""无来源转载站"", ""无来源转载站""]}",根据本轮复盘与产品评估，下一轮过滤低质量来源。,active,2026-04-07 19:00:28.212082+00
opr-aa2dbea57d,newsloop-agenticv2-0801,a5768aefa005,2,agent.self_optimize,agent,xhs,,3,,image_availability_threshold,"{""min_images"": 1}",采集阶段优先保留带图候选，降低后续主推图片不足风险。,active,2026-04-07 19:00:28.221429+00
opr-a15a8da595,newsloop-agenticv2-0801,a5768aefa005,2,agent.self_optimize,agent,xhs,,3,,short_brief_compression_rule,"{""max_chars"": 44}",短讯继续压缩，优先保留结果、时间与影响范围。,active,2026-04-07 19:00:28.230967+00
